,nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,filiere,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxraccharge,puismaxcharge,puismaxrac,puismaxinstalleedischarge,nbgroupes,regime,energiestockable,capacitereservoir,productible,debitmaximal,gestionnaire,hauteurchute
37696,CENTRALE DE VALENTRE,17W000000044417K,460420601,Cahors,CA du Grand Cahors,Lot,Occitanie,09/10/1997,09/10/1997,10/08/2022,CAHOR,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1200.0,,,1200.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37706,CAJARH-CENTRALE HYDRAULIQUE DE CAJARC-3,17W000000012638W,460450000,Cajarc,CC Grand-Figeac,Lot,Occitanie,01/01/1947,06/01/2015,10/11/2021,CAJAR,63 kV,DIRECT,Hydraulique,,,FIL DE L'EAU,,8500.0,,,,,3.0,En service,,,,,RTE,9.15
37713,Confidentiel,17W000000055061M,460490000,Calvignac,CC Grand-Figeac,Lot,Occitanie,03/10/1997,03/10/1997,26/01/2022,CAJAR,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,180.0,,,180.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37714,Confidentiel,17W000000156363V,460490000,Calvignac,CC Grand-Figeac,Lot,Occitanie,03/10/1997,03/10/1997,09/02/2022,CAJAR,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,479.0,,,400.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37715,Confidentiel,17W000000158069L,460490000,Calvignac,CC Grand-Figeac,Lot,Occitanie,03/10/1997,03/10/1997,26/01/2022,CAJAR,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,189.0,,,189.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37719,CENTRALE D ARELLES,17W000000044321X,,Capdenac,CC Grand-Figeac,Lot,Occitanie,03/10/1997,03/10/1997,26/01/2022,FIGEA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1000.0,,,1000.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37758,Confidentiel,17W000000148714O,460880000,Douelle,CA du Grand Cahors,Lot,Occitanie,03/10/1997,03/10/1997,26/01/2022,CAHOR,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1289.0,,,1180.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37809,FRONTENAC 1,17W000000429927U,461160000,Frontenac,CC Grand-Figeac,Lot,Occitanie,03/10/1997,03/10/1997,26/01/2022,FIGEA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,550.0,,,400.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37810,FRONTENAC 2,17W0000001565798,461160000,Frontenac,CC Grand-Figeac,Lot,Occitanie,09/10/1997,09/10/1997,26/01/2022,FIGEA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,900.0,,,1034.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37811,BRUGAH-CENTRALE HYDRAULIQUE DE BRUGALE-3,17W000000012319B,461170000,Gagnac-sur-Cère,CC Causses et Vallée de la Dordogne,Lot,Occitanie,01/01/1968,25/10/2013,10/11/2021,BRUGA,63 kV,DIRECT,Hydraulique,,,ECLUSEE,,5100.0,,,,,7.0,En service,,,,,RTE,11.5
37813,CENTRALE DE LA GRENERIE,17W0000013922388,,Gagnac-sur-Cère,CC Causses et Vallée de la Dordogne,Lot,Occitanie,09/10/1997,09/10/1997,10/10/2022,LAVA2,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,420.0,,,420.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37914,Confidentiel,17W0000003992697,,Latouille-Lentillac,CC Causses et Vallée de la Dordogne,Lot,Occitanie,03/10/1997,03/10/1997,07/11/2022,SSCER,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,2155.0,,,2155.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37921,Confidentiel,17W0000000482283,461630000,Laval-de-Cère,CC Causses et Vallée de la Dordogne,Lot,Occitanie,03/10/1997,03/10/1997,01/12/2022,LAVA2,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,496.0,,,420.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37922,Confidentiel,17W0000001561349,,Laval-de-Cère,CC Causses et Vallée de la Dordogne,Lot,Occitanie,09/10/1997,09/10/1997,26/01/2022,L.CE1,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,490.0,,,400.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37941,Confidentiel,17W000001360122I,461770000,Loubressac,CC Causses et Vallée de la Dordogne,Lot,Occitanie,02/01/2022,02/01/2022,02/01/2022,SSCER,BT,Direct,Hydraulique,,,FIL DE L'EAU,,100.0,,,100.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37944,LUZECH-CENTRALE HYDRAULIQUE DE LUZECH-3,17W000000012301U,461820000,Luzech,CC de la Vallée du Lot et du Vignoble,Lot,Occitanie,01/01/1956,01/05/1990,10/11/2021,LUZEC,63 kV,DIRECT,Hydraulique,,,FIL DE L'EAU,,15800.0,,,,,3.0,En service,,,,,RTE,11.4
37945,Confidentiel,17W0000003762469,461830000,Marcilhac-sur-Célé,CC Grand-Figeac,Lot,Occitanie,09/01/2014,09/01/2014,02/02/2022,CAJAR,BT,Direct,Hydraulique,,,FIL DE L'EAU,,112.0,,,112.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37966,MERCUES,17W000000059887Q,461910000,Mercuès,CA du Grand Cahors,Lot,Occitanie,01/01/2006,01/01/2006,25/01/2022,CAHOR,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1960.0,,,1960.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
37983,Confidentiel,17W000000050167V,,Montbrun,CC Grand-Figeac,Lot,Occitanie,01/01/1985,01/01/1985,10/11/2022,CAJAR,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,2250.0,,,2250.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38021,Confidentiel,17W0000001479565,462250000,Prayssac,CC de la Vallée du Lot et du Vignoble,Lot,Occitanie,01/05/1976,01/05/1976,26/01/2022,MEYME,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,2100.0,,,2100.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38023,MEYMES,17W000000060460R,462250000,Prayssac,CC de la Vallée du Lot et du Vignoble,Lot,Occitanie,01/05/2003,01/05/2003,10/11/2022,MEYME,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,3900.0,,,3900.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38029,Confidentiel,17W000000153412M,462310000,Puy-l'Évêque,CC de la Vallée du Lot et du Vignoble,Lot,Occitanie,09/10/1997,09/10/1997,09/02/2022,MEYME,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1250.0,,,1250.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38030,Confidentiel,17W0000000472539,462310000,Puy-l'Évêque,CC de la Vallée du Lot et du Vignoble,Lot,Occitanie,09/10/1997,09/10/1997,07/11/2022,MEYME,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,2300.0,,,2300.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38100,Confidentiel,17W000000059278E,,Saint-Martin-Labouval,CC du Pays de Lalbenque-Limogne,Lot,Occitanie,09/10/1997,09/10/1997,26/01/2022,CAJAR,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1090.0,,,1150.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38121,Confidentiel,17W000000270332G,,Sauliac-sur-Célé,CC Grand-Figeac,Lot,Occitanie,28/02/2003,28/02/2003,09/02/2022,CAJAR,BT,Direct,Hydraulique,,,FIL DE L'EAU,,212.0,,,212.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38164,CENTRALE DE MANAVAL,17W000000420180T,463150000,Teyssieu,CC Causses et Vallée de la Dordogne,Lot,Occitanie,09/10/1997,09/10/1997,25/01/2022,LAVA2,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,300.0,,,300.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38208,Confidentiel,17W0000000479002,470040000,Aiguillon,CC du Confluent et des Coteaux de Prayssas,Lot-et-Garonne,Nouvelle-Aquitaine,09/10/1997,09/10/1997,15/07/2022,,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1300.0,,,80.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38209,Confidentiel,17W000000045419B,470040000,Aiguillon,CC du Confluent et des Coteaux de Prayssas,Lot-et-Garonne,Nouvelle-Aquitaine,09/10/1997,09/10/1997,01/07/2015,UNET,HTA,Direct,Hydraulique,,,POMPAGE TURBINAGE,,377.0,,,377.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38214,Confidentiel,17W0000009889433,470040000,Aiguillon,CC du Confluent et des Coteaux de Prayssas,Lot-et-Garonne,Nouvelle-Aquitaine,01/11/2014,01/11/2014,15/07/2022,UNET,HTA,Indirect,Hydraulique,,,FIL DE L'EAU,,975.0,,,975.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38218,Confidentiel,17W000001402511Q,470050000,Allemans-du-Dropt,CC du Pays de Lauzun,Lot-et-Garonne,Nouvelle-Aquitaine,30/03/2021,30/03/2021,06/07/2022,SAUVE,BT,Direct,Hydraulique,,,FIL DE L'EAU,,60.0,,,60.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38239,Confidentiel,17W0000004329963,470150000,Astaffort,CA Agglomération d'Agen,Lot-et-Garonne,Nouvelle-Aquitaine,29/11/2016,29/11/2016,23/11/2018,BOE,BT,Direct,Hydraulique,,,FIL DE L'EAU,,182.0,,,182.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38327,Confidentiel,17W000000045870W,470430000,Buzet-sur-Baïse,CC Albret Communauté,Lot-et-Garonne,Nouvelle-Aquitaine,01/04/2016,01/04/2016,01/08/2019,BRUCH,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,340.0,,,340.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38393,Confidentiel,17W000000040466R,470650000,Clairac,CA Val de Garonne Agglomération,Lot-et-Garonne,Nouvelle-Aquitaine,09/10/1997,09/10/1997,12/12/2018,UNET,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,497.0,,,497.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38395,Confidentiel,17W000001392224J,,Clairac,CA Val de Garonne Agglomération,Lot-et-Garonne,Nouvelle-Aquitaine,05/05/2022,05/05/2022,05/05/2022,UNET,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,997.0,,,997.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38499,FUMELH-CENTRALE HYDRAULIQUE DE FUMEL-3,17W000000012869D,471060102,Fumel,CC Fumel Vallée du Lot,Lot-et-Garonne,Nouvelle-Aquitaine,01/01/1942,,08/10/2015,FUMEL,63 kV,INDIRECT,Hydraulique,,,FIL DE L'EAU,,5800.0,,,,,2.0,En service,,,,,RTE,8.4
38501,Confidentiel,17W0000009889352,,Fumel,CC Fumel Vallée du Lot,Lot-et-Garonne,Nouvelle-Aquitaine,01/02/2013,01/02/2013,22/07/2022,MRLOQ,HTA,Indirect,Hydraulique,,,FIL DE L'EAU,,1600.0,,,1149.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38502,Confidentiel,17W000000427893V,,Fumel,CC Fumel Vallée du Lot,Lot-et-Garonne,Nouvelle-Aquitaine,09/10/1997,09/10/1997,22/07/2022,MRLOQ,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1600.0,,,,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38577,Confidentiel,17W000000301856C,471430000,Lavardac,CC Albret Communauté,Lot-et-Garonne,Nouvelle-Aquitaine,30/01/2015,30/01/2015,01/11/2018,NERAC,BT,Direct,Hydraulique,,,FIL DE L'EAU,,137.0,,,100.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38578,Confidentiel,17W0000009706882,471430000,Lavardac,CC Albret Communauté,Lot-et-Garonne,Nouvelle-Aquitaine,22/06/2020,22/06/2020,22/06/2020,NERAC,BT,Direct,Hydraulique,,,FIL DE L'EAU,,126.0,,,126.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38581,Confidentiel,17W0000014574999,471450000,Layrac,CA Agglomération d'Agen,Lot-et-Garonne,Nouvelle-Aquitaine,01/12/2011,01/12/2011,01/11/2022,BOE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,255.0,,,255.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38669,Confidentiel,17W0000001472451,471740000,Moncrabeau,CC Albret Communauté,Lot-et-Garonne,Nouvelle-Aquitaine,09/10/1997,09/10/1997,17/04/2019,NERAC,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,220.0,,,220.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38733,Confidentiel,17W0000012343364,471950102,Nérac,CC Albret Communauté,Lot-et-Garonne,Nouvelle-Aquitaine,29/03/2021,29/03/2021,31/03/2021,NERAC,BT,Direct,Hydraulique,,,FIL DE L'EAU,,145.0,,,125.0,,,En service,0.0,0.0,0.0,0.0,Enedis,2.2
38933,Confidentiel,17W000001321364D,472830000,Saint-Vite,CC Fumel Vallée du Lot,Lot-et-Garonne,Nouvelle-Aquitaine,01/01/2003,01/01/2003,01/06/2021,MRLOQ,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,550.0,,,499.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38967,Confidentiel,17W000000425584H,473060000,Le Temple-sur-Lot,CC Lot et Tolzac,Lot-et-Garonne,Nouvelle-Aquitaine,01/01/2006,01/01/2006,12/10/2018,SSLIV,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1270.0,,,1270.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
38972,TEMPLH-CENTRALE HYDRAULIQUE DE TEMPLE (LE)-3,17W000000012774O,473060000,Le Temple-sur-Lot,CC Lot et Tolzac,Lot-et-Garonne,Nouvelle-Aquitaine,01/01/1951,01/05/1990,10/11/2021,TEMPL,63 kV,DIRECT,Hydraulique,,,FIL DE L'EAU,,18500.0,,,,,2.0,En service,,,,,RTE,8.5
39014,Confidentiel,17W000000054300Z,473180000,Vianne,CC Albret Communauté,Lot-et-Garonne,Nouvelle-Aquitaine,09/10/1997,09/10/1997,01/07/2015,NERAC,HTA,Direct,Hydraulique,,,POMPAGE TURBINAGE,,200.0,,,200.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39042,V.LOTH-CENTRALE HYDRAULIQUE DE VILLENEUVE-SUR-LOT-3,17W000000012948H,473230302,Villeneuve-sur-Lot,CA du Grand Villeneuvois,Lot-et-Garonne,Nouvelle-Aquitaine,01/01/1969,01/05/1990,25/07/2022,V.LOT,63 kV,DIRECT,Hydraulique,,,FIL DE L'EAU,,28700.0,,,,,2.0,En service,,,,,RTE,13.0
39105,P.BORH-CENTRALE HYDRAULIQUE DE PIED-DE-BORNE-6,17W0000000124464,480150000,Pied-de-Borne,CC Mont Lozère,Lozère,Occitanie,01/01/1965,01/05/1990,10/11/2021,P.BOR,225 kV,DIRECT,Hydraulique,,,LAC,,109400.0,,,,,2.0,En service,,,,,RTE,292.0
39107,BEYSSH-CENTRALE HYDRAULIQUE DE BEYSSAC-3,17W000000012073H,480150000,Pied-de-Borne,CC Mont Lozère,Lozère,Occitanie,01/01/1965,01/05/1990,10/11/2021,BEYSS,63 kV,DIRECT,Hydraulique,,,ECLUSEE,,30300.0,,,,,1.0,En service,,,,,RTE,254.8
39124,Confidentiel,17W0000012365981,,Mont Lozère et Goulet,CC Mont Lozère,Lozère,Occitanie,01/11/2004,01/11/2004,21/01/2022,MENDE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,665.0,,,610.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39126,Confidentiel,17W0000013922396,480280000,Les Bondons,CC Gorges Causses Cévennes,Lozère,Occitanie,09/10/1997,09/10/1997,01/05/2022,TARNO,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,634.0,,,634.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39145,Confidentiel,17W0000004233644,480370000,Chadenet,CC Mont Lozère,Lozère,Occitanie,01/01/2015,01/01/2015,07/09/2022,MENDE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,900.0,,,899.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39151,CENTRALE D ANCELPONT,17W000000165909C,480380000,Bel-Air-Val-d'Ance,CC du Haut Allier,Lozère,Occitanie,09/10/1997,09/10/1997,05/05/2022,ANCEL,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,496.0,,,450.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39158,Confidentiel,17W000000988901J,,Chanac,CC Aubrac Lot Causses Tarn,Lozère,Occitanie,01/11/2013,01/11/2013,01/06/2022,MONAS,HTA,Indirect,Hydraulique,,,FIL DE L'EAU,,1070.0,,,1070.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39159,Confidentiel,17W000000047771O,,Chanac,CC Aubrac Lot Causses Tarn,Lozère,Occitanie,09/10/1997,09/10/1997,01/06/2022,MONAS,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1350.0,,,280.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39182,Confidentiel,17W000000053596U,480500000,Bédouès-Cocurès,CC Gorges Causses Cévennes,Lozère,Occitanie,09/10/1997,09/10/1997,26/01/2022,TARNO,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,1100.0,,,1100.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39197,CENTRALE DE BEDILLON,17W000000166255S,480700000,Grandrieu,CC Randon - Margeride,Lozère,Occitanie,09/10/1997,09/10/1997,01/10/2016,ANCEL,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,937.0,,,937.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39205,LES HERMAUX,17W000001384055C,,Les Hermaux,CC Aubrac Lot Causses Tarn,Lozère,Occitanie,01/11/2012,01/11/2012,20/09/2022,MONAS,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,352.0,,,352.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39209,LES TRONQUETTES,17W000000045901A,480730000,Les Hermaux,CC Aubrac Lot Causses Tarn,Lozère,Occitanie,09/10/1997,09/10/1997,26/01/2022,MONAS,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,400.0,,,650.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39215,NAUSSH-CENTRALE HYDRAULIQUE DE NAUSSAC-3,17W000000012775M,480800000,Langogne,CC du Haut Allier,Lozère,Occitanie,23/04/2014,23/04/2014,01/01/2017,NAUSS,63 kV,DIRECT,Hydraulique,,,LAC,,8000.0,,9000.0,,,3.0,En service,,,,,RTE,2.0
39228,Confidentiel,17W000000224019U,480880000,La Malène,CC Gorges Causses Cévennes,Lozère,Occitanie,04/12/2012,04/12/2012,20/12/2018,TARNO,BT,Direct,Hydraulique,,,FIL DE L'EAU,,110.0,,,110.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39239,Confidentiel,17W000000045138J,480940000,Massegros Causses Gorges,CC Aubrac Lot Causses Tarn,Lozère,Occitanie,09/10/1997,09/10/1997,26/01/2022,SEVER,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,400.0,,,400.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39254,SIRVENS,17W000000461385J,,Mende,CC Cur de Lozère,Lozère,Occitanie,25/01/2018,25/01/2018,24/01/2022,MENDE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,383.0,,,383.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39263,Confidentiel,17W000000235360A,480990000,Bourgs sur Colagne,CC du Gévaudan,Lozère,Occitanie,09/10/2012,09/10/2012,08/02/2022,MONAS,BT,Direct,Hydraulique,,,FIL DE L'EAU,,60.0,,,56.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39289,Confidentiel,17W000000396387G,481110000,Pelouse,CC Cur de Lozère,Lozère,Occitanie,09/10/1997,09/10/1997,01/06/2022,MENDE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,441.0,,,441.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39292,Confidentiel,17W000000318666D,481110000,Pelouse,CC Cur de Lozère,Lozère,Occitanie,06/12/2016,06/12/2016,04/10/2018,MENDE,BT,Direct,Hydraulique,,,FIL DE L'EAU,,120.0,,,120.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39296,Confidentiel,17W000000159918Y,481160000,Pont de Montvert - Sud Mont Lozère,CC des Cévennes au Mont Lozère,Lozère,Occitanie,09/10/1997,09/10/1997,25/01/2022,TARNO,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,78.0,,,78.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39297,Confidentiel,17W0000000464641,481160000,Pont de Montvert - Sud Mont Lozère,CC des Cévennes au Mont Lozère,Lozère,Occitanie,09/10/1997,09/10/1997,25/01/2022,TARNO,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,128.0,,,128.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39301,EDF DPIH PREVENCHERES,17W000000413649V,,Prévenchères,CC Mont Lozère,Lozère,Occitanie,11/02/2006,11/02/2006,30/11/2021,PLANC,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,3690.0,,,3690.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39325,Confidentiel,17W000000045462A,481270000,Monts-de-Randon,CC Randon - Margeride,Lozère,Occitanie,09/10/1997,09/10/1997,25/01/2022,MENDE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,740.0,,,740.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39332,Confidentiel,17W0000000588727,481280000,Rimeize,CC des Terres d'Apcher-Margeride-Aubrac,Lozère,Occitanie,09/10/1997,09/10/1997,01/08/2017,SSAPC,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,353.0,,,353.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39335,Confidentiel,17W0000002690944,481320000,Saint-Alban-sur-Limagnole,CC des Terres d'Apcher-Margeride-Aubrac,Lozère,Occitanie,20/11/2012,20/11/2012,08/09/2022,SSAPC,BT,Direct,Hydraulique,,,FIL DE L'EAU,,250.0,,,250.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39338,Confidentiel,17W0000002872279,481390000,Saint Bonnet-Laval,CC du Haut Allier,Lozère,Occitanie,24/09/2012,24/09/2012,05/04/2022,ANCEL,BT,Direct,Hydraulique,,,FIL DE L'EAU,,100.0,,,100.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39339,CENTRALE DE CHAPEAUROUX,17W0000001535291,481390000,Saint Bonnet-Laval,CC du Haut Allier,Lozère,Occitanie,09/10/1997,09/10/1997,01/10/2016,ANCEL,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,296.0,,,296.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39340,RANC H-CENTRALE HYDRAULIQUE DE RANC (LE)-3,17W000000490730F,481400101,Saint-Chély-d'Apcher,CC des Terres d'Apcher-Margeride-Aubrac,Lozère,Occitanie,01/01/1922,13/06/2014,25/07/2019,SSAP5,63 kV,INDIRECT,Hydraulique,,,FIL DE L'EAU,,1500.0,,,,,2.0,En service,,,,,RTE,21.0
39341,VERGNH-CENTRALE HYDRAULIQUE DE VERGNE (LE)-3,17W000000490731D,481400101,Saint-Chély-d'Apcher,CC des Terres d'Apcher-Margeride-Aubrac,Lozère,Occitanie,01/01/1917,13/06/2014,25/07/2019,SSAP5,63 kV,INDIRECT,Hydraulique,,,FIL DE L'EAU,,12000.0,,,,,6.0,En service,,,,,RTE,145.0
39347,Confidentiel,17W000000053224U,481450000,Saint-Denis-en-Margeride,CC Randon - Margeride,Lozère,Occitanie,09/10/1997,09/10/1997,25/01/2022,SSAPC,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,288.0,,,288.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
39363,Confidentiel,17W000001384056A,481750000,Saint-Pierre-de-Nogaret,CC Aubrac Lot Causses Tarn,Lozère,Occitanie,01/11/2012,01/11/2012,01/05/2022,MONAS,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,385.0,,,385.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
40121,Confidentiel,17W000001240066L,492200000,Morannes sur Sarthe-Daumeray,CC Anjou Loir et Sarthe,Maine-et-Loire,Pays de la Loire,11/06/2021,11/06/2021,26/10/2021,SABLE,BT,Direct,Hydraulique,,,FIL DE L'EAU,,130.0,,,130.0,,,En service,0.0,0.0,0.56,0.0,Enedis,1.2
40364,Confidentiel,17W000000429461D,493010206,Sèvremoine,CA Mauges Communauté,Maine-et-Loire,Pays de la Loire,17/04/2006,17/04/2006,12/10/2022,CHOLE,HTA,Direct,Hydraulique,,,ECLUSEE,,220.0,,,220.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
40736,BROUAINS,17W000000431070P,500880000,Brouains,CA Mont-Saint-Michel-Normandie,Manche,Normandie,02/04/1999,02/04/1999,01/07/2019,MORTA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,60.0,,,60.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
40737,Confidentiel,17W0000000544718,500880000,Brouains,CA Mont-Saint-Michel-Normandie,Manche,Normandie,08/10/2012,08/10/2012,28/01/2019,MORTA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,99.0,,,99.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
40828,Confidentiel,17W000000426899O,501970000,Gavray-sur-Sienne,CC Coutances Mer et Bocage,Manche,Normandie,30/10/2012,30/10/2012,04/10/2019,VLEDI,HTA,Direct,Hydraulique,,,HYDROLIEN FLUVIAL,,90.0,,,90.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
40950,Confidentiel,17W0000013922744,,Orval sur Sienne,CC Coutances Mer et Bocage,Manche,Normandie,17/10/2012,17/10/2012,01/06/2022,COUTA,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,150.0,,,150.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
40959,Confidentiel,17W0000000410904,503930000,Percy-en-Normandie,CC de Villedieu Intercom,Manche,Normandie,01/11/2012,01/11/2012,14/09/2015,VLEDI,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,120.0,,,120.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
41030,Confidentiel,17W000000949981E,504840000,Saint-Hilaire-du-Harcouët,CA Mont-Saint-Michel-Normandie,Manche,Normandie,01/01/2020,01/01/2020,01/01/2020,LAIRO,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,137.0,,,137.0,,,En service,0.0,0.0,400000.0,0.0,Enedis,18.0
41043,Confidentiel,17W000000042561N,504870000,Saint-James,CA Mont-Saint-Michel-Normandie,Manche,Normandie,01/08/2012,01/08/2012,09/07/2019,BOUCE,HTA,Direct,Hydraulique,,,FIL DE L'EAU,,90.0,,,90.0,,,En service,0.0,0.0,0.0,0.0,Enedis,0.0
