nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
Confidentiel,17W0000001508294,,Caix,CC Terre de Picardie,Somme,Hauts-de-France,14/01/2013,14/01/2013,17/01/2019,VAUVI,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W0000004341536,801790000,Caulières,CC Somme Sud-Ouest,Somme,Hauts-de-France,14/11/2017,14/11/2017,21/04/2021,BLOCA,HTA,Direct,,,TERRESTRE,,11750.0,11750.0,1.0,En service,Enedis
P.E. DE CAULIERES EPLESSIER LAMARONDE,17W000000156419U,801790000,Caulières,CC Somme Sud-Ouest,Somme,Hauts-de-France,19/08/2010,19/08/2010,23/06/2021,CROI5,HTA,Direct,,,TERRESTRE,,12500.0,12500.0,1.0,En service,Enedis
P.E.DE CAULIERES EPLESSIER LAMARONDE,17W000000154876C,801790000,Caulières,CC Somme Sud-Ouest,Somme,Hauts-de-France,19/08/2010,19/08/2010,20/01/2022,CROI5,HTA,Direct,,,TERRESTRE,,5000.0,5000.0,1.0,En service,Enedis
Confidentiel,17W000000460466O,801790000,Caulières,CC Somme Sud-Ouest,Somme,Hauts-de-France,14/11/2017,14/11/2017,21/04/2021,BLOCA,HTA,Direct,,,TERRESTRE,,11750.0,11750.0,1.0,En service,Enedis
Confidentiel,17W000000498882Q,,Chaulnes,CC Terre de Picardie,Somme,Hauts-de-France,05/12/2018,05/12/2018,26/08/2021,PERTA,HTA,Direct,,,TERRESTRE,,13000.0,13000.0,1.0,En service,Enedis
Confidentiel,17W000000500787X,,Chaulnes,CC Terre de Picardie,Somme,Hauts-de-France,05/12/2018,05/12/2018,18/12/2019,PERTA,HTA,Direct,,,TERRESTRE,,13000.0,13000.0,1.0,En service,Enedis
CHEPY-SiteProductionMorale,17W0000004323287,801900000,Chépy,CC du Vimeu,Somme,Hauts-de-France,13/11/2003,13/11/2003,29/03/2022,SAUCO,HTA,Direct,,,TERRESTRE,,4000.0,4000.0,2.0,En service,Enedis
Confidentiel,17W000000047448V,801930000,Chirmont,CC Avre Luce Noye,Somme,Hauts-de-France,01/08/2009,01/08/2009,21/04/2021,AMARG,HTA,Direct,,,TERRESTRE,,13800.0,13800.0,1.0,En service,Enedis
Confidentiel,17W000000166728B,801930000,Chirmont,CC Avre Luce Noye,Somme,Hauts-de-France,01/08/2009,01/08/2009,21/04/2021,AMARG,HTA,Direct,,,TERRESTRE,,13800.0,13800.0,1.0,En service,Enedis
Confidentiel,17W000001370682B,801970000,Cizancourt,CC de l'Est de la Somme,Somme,Hauts-de-France,01/04/2022,01/04/2022,19/05/2022,PERTA,HTA,Direct,,,TERRESTRE,,10000.0,10000.0,1.0,En service,Enedis
Confidentiel,17W000000054981M,802000000,Cocquerel,CC Ponthieu-Marquenterre,Somme,Hauts-de-France,12/10/2007,12/10/2007,11/02/2021,V.MAR,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,6.0,En service,Enedis
Confidentiel,17W000001352976X,802090000,Contoire (commune périmée),,Somme,Hauts-de-France,,02/11/2017,29/07/2022,,HTA,Direct,,,TERRESTRE,,16000.0,16000.0,,En service,SICAE de la Somme et du Cambraisis
Confidentiel,17W000000046983E,802190000,Courcelles-sous-Thoix,CC Somme Sud-Ouest,Somme,Hauts-de-France,18/10/2016,18/10/2016,21/04/2021,AMARG,HTA,Direct,,,TERRESTRE,,11500.0,11500.0,1.0,En service,Enedis
Confidentiel,17W000000954769V,802240000,Cressy-Omencourt,CC du Grand Roye,Somme,Hauts-de-France,08/11/2019,08/11/2019,08/11/2019,PERTA,HTA,Direct,,,TERRESTRE,,13200.0,13200.0,1.0,En service,Enedis
C.OMEE01 - ADP 01 DE LA FERME EOLIENNE DE CRESSY-OMENCOURT,17W000001023690B,802240000,Cressy-Omencourt,CC du Grand Roye,Somme,Hauts-de-France,27/10/2020,08/12/2020,08/12/2020,C.OME,225 kV,DIRECT,,,TERRESTRE,,12480.0,12480.0,3.0,En service,RTE
C.OMEE02 - ADP 02 DE LA FERME EOLIENNE DE CRESSY-OMENCOURT,17W0000010236943,802240000,Cressy-Omencourt,CC du Grand Roye,Somme,Hauts-de-France,11/12/2020,11/12/2020,11/12/2020,C.OME,225 kV,DIRECT,,,TERRESTRE,,12480.0,12480.0,3.0,En service,RTE
C.OMEE06 - ADP 06 DE LA FERME EOLIENNE DE CRESSY-OMENCOURT,17W000001323045J,802240000,Cressy-Omencourt,CC du Grand Roye,Somme,Hauts-de-France,01/08/2021,01/08/2021,01/08/2021,C.OME,225 kV,DIRECT,,,TERRESTRE,,30750.0,30750.0,8.0,En service,RTE
Confidentiel,17W000000053872W,802270000,Croixrault,CC Somme Sud-Ouest,Somme,Hauts-de-France,01/12/2008,01/12/2008,28/11/2022,CROI5,HTA,Direct,,,TERRESTRE,,2300.0,2300.0,1.0,En service,Enedis
Confidentiel,17W0000000785581,802270000,Croixrault,CC Somme Sud-Ouest,Somme,Hauts-de-France,01/11/2008,01/11/2008,12/12/2022,CROI5,HTA,Direct,,,TERRESTRE,,11500.0,11500.0,1.0,En service,Enedis
Confidentiel,17W000001353136Z,802360000,Davenescourt,CC du Grand Roye,Somme,Hauts-de-France,,09/11/2017,29/07/2022,,HTA,Direct,,,TERRESTRE,,12800.0,12800.0,,En service,SICAE de la Somme et du Cambraisis
Confidentiel,17W000000423034P,802410000,Domart-en-Ponthieu,CC Nièvre et Somme,Somme,Hauts-de-France,19/12/2013,19/12/2013,03/06/2022,ARGOE,HTA,Direct,,,TERRESTRE,,6000.0,6000.0,1.0,En service,Enedis
Confidentiel,17W000000460585G,802410000,Domart-en-Ponthieu,CC Nièvre et Somme,Somme,Hauts-de-France,22/11/2017,22/11/2017,21/04/2021,V.MAR,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W000000045595S,802410000,Domart-en-Ponthieu,CC Nièvre et Somme,Somme,Hauts-de-France,01/04/2010,01/04/2010,16/05/2022,V.MAR,HTA,Direct,,,TERRESTRE,,4000.0,4000.0,1.0,En service,Enedis
Confidentiel,17W000000497791Y,802460000,Dommartin,CC Avre Luce Noye,Somme,Hauts-de-France,15/11/2018,15/11/2018,21/04/2021,QUENT,HTA,Direct,,,TERRESTRE,,12800.0,12800.0,1.0,En service,Enedis
Confidentiel,17W000000148634M,802510000,Doudelainville,CA de la Baie de Somme,Somme,Hauts-de-France,07/12/2005,07/12/2005,22/08/2022,BZBEL,HTA,Direct,,,TERRESTRE,,10000.0,9999.0,5.0,En service,Enedis
